epoch,loss,USR,GUR_acc,GUR,APR,MIA
1,1.2563905104001363,0.625,0.6666666666666666,0.9523809523809524,0.593103448275862,0.40217391304347827
2,1.0780574194590251,0.875,0.7666666666666667,1.0952380952380953,0.693103448275862,0.3804347826086957
3,0.9066386707623799,0.875,0.7666666666666667,1.0952380952380953,0.643103448275862,0.3804347826086957
4,0.778343145052592,0.625,0.7,1.0,0.5913793103448276,0.3804347826086957
5,0.6802596207459768,0.875,0.7666666666666667,1.0952380952380953,0.643103448275862,0.358695652173913
6,0.5941920081774393,0.625,0.5,0.7142857142857143,0.5758620689655172,0.358695652173913
7,0.48501263618469237,0.875,0.6666666666666666,0.9523809523809524,0.6603448275862069,0.33695652173913043
8,0.399203425248464,0.875,0.6,0.8571428571428572,0.7275862068965517,0.33695652173913043
9,0.3088820580641429,0.75,0.6666666666666666,0.9523809523809524,0.6275862068965516,0.31521739130434784
10,0.2411279966433843,0.875,0.6666666666666666,0.9523809523809524,0.6275862068965516,0.31521739130434784
11,0.182735000650088,0.75,0.5333333333333333,0.761904761904762,0.6603448275862069,0.33695652173913043
12,0.13749583979447683,0.75,0.6,0.8571428571428572,0.6948275862068966,0.31521739130434784
13,0.10598185941576958,0.75,0.6666666666666666,0.9523809523809524,0.6275862068965516,0.33695652173913043
14,0.09257905061046283,0.75,0.43333333333333335,0.6190476190476191,0.5948275862068966,0.31521739130434784
15,0.10811191389958064,0.75,0.7333333333333333,1.0476190476190477,0.6448275862068966,0.31521739130434784
16,0.05612971857190132,0.75,0.7,1.0,0.6620689655172414,0.31521739130434784
17,0.04173028094073137,0.875,0.4666666666666667,0.6666666666666667,0.7120689655172414,0.31521739130434784
18,0.0506380395591259,0.625,0.5333333333333333,0.761904761904762,0.6948275862068966,0.31521739130434784
19,0.03359455667436123,0.75,0.5666666666666667,0.8095238095238095,0.6448275862068966,0.29347826086956524
20,0.03293504384656747,0.875,0.5,0.7142857142857143,0.6448275862068966,0.29347826086956524
21,0.023924395367503168,0.625,0.43333333333333335,0.6190476190476191,0.7293103448275862,0.2717391304347826
22,0.020222192741930486,0.875,0.4666666666666667,0.6666666666666667,0.7293103448275862,0.2717391304347826
23,0.01826160054653883,0.875,0.4666666666666667,0.6666666666666667,0.7620689655172415,0.2717391304347826
24,0.017121312245726585,0.625,0.43333333333333335,0.6190476190476191,0.7620689655172415,0.2717391304347826
25,0.02371747643997272,0.75,0.5333333333333333,0.761904761904762,0.7275862068965517,0.2717391304347826
26,0.01908914760996898,0.625,0.3333333333333333,0.4761904761904762,0.6775862068965517,0.2717391304347826
27,0.020307289784153304,0.625,0.4666666666666667,0.6666666666666667,0.7275862068965517,0.2717391304347826
28,0.015869580234090488,0.625,0.5333333333333333,0.761904761904762,0.7965517241379311,0.2717391304347826
29,0.015549161409338316,0.75,0.4666666666666667,0.6666666666666667,0.7275862068965517,0.2717391304347826
30,0.015166437377532323,0.625,0.5,0.7142857142857143,0.7448275862068966,0.2717391304347826
31,0.014954606865843137,0.75,0.5,0.7142857142857143,0.6948275862068966,0.2717391304347826
32,0.016801582934955758,0.75,0.5,0.7142857142857143,0.7275862068965517,0.2717391304347826
33,0.014648364670574666,0.75,0.4666666666666667,0.6666666666666667,0.7275862068965517,0.2717391304347826
34,0.014502777929107348,0.75,0.4666666666666667,0.6666666666666667,0.7448275862068966,0.2717391304347826
35,0.014446530044078826,0.625,0.3333333333333333,0.4761904761904762,0.710344827586207,0.2717391304347826
36,0.014346990411480269,0.75,0.36666666666666664,0.5238095238095238,0.7620689655172415,0.2717391304347826
37,0.01417971791078647,0.75,0.3,0.4285714285714286,0.7448275862068966,0.2717391304347826
38,0.030964220985770226,0.875,0.4,0.5714285714285715,0.7448275862068966,0.2717391304347826
39,0.021044983938336374,0.875,0.5,0.7142857142857143,0.7448275862068966,0.2717391304347826
40,0.02096679580708345,0.75,0.5,0.7142857142857143,0.7620689655172415,0.2717391304347826
